"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u175",7,NA,7,6,5,NA,7,5,6,NA,NA,NA,4,NA,7,4,5,NA,NA,6,NA,NA,5,6,NA,7,NA,7,6,NA,NA,NA,NA,4,7,5,NA,4,NA,NA,NA,6,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,5,NA,NA,8,5,7,5,5,NA,6,4,5,NA,NA,7,6,3,4,6,NA,NA,5,NA,7,NA,NA,NA,NA,5,3,NA,5,4,NA,4,4,5,4,NA,NA,7
"u176",5,NA,NA,NA,NA,5,6,NA,7,6,NA,5,NA,5,NA,4,6,NA,6,NA,5,NA,NA,NA,NA,NA,6,5,7,NA,NA,5,5,NA,NA,4,4,NA,NA,NA,NA,NA,6,NA,NA,7,NA,5,NA,4,7,NA,NA,NA,5,4,6,6,NA,NA,8,6,NA,4,4,NA,NA,NA,6,NA,7,NA,4,NA,NA,4,6,6,NA,5,6,6,8,5,NA,5,NA,NA,NA,NA,NA,NA,6,NA,NA,5,NA,8,NA,6
"u177",NA,NA,NA,NA,5,5,NA,5,5,NA,5,NA,NA,NA,6,NA,5,NA,NA,6,NA,NA,5,NA,NA,NA,9,NA,NA,4,5,NA,4,NA,NA,NA,NA,4,7,6,2,6,7,NA,5,NA,NA,7,6,6,8,NA,4,5,6,NA,NA,4,4,6,NA,NA,NA,5,5,6,5,NA,NA,5,NA,NA,NA,NA,NA,4,5,5,5,5,6,6,NA,5,NA,5,NA,6,5,6,6,7,7,4,3,NA,4,8,NA,NA
"u178",6,5,7,NA,NA,6,NA,6,5,7,5,4,NA,5,6,4,NA,NA,6,NA,5,5,5,NA,4,5,6,NA,6,NA,NA,NA,NA,6,NA,NA,NA,4,NA,NA,4,NA,8,5,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,5,5,NA,NA,7,4,NA,5,NA,5,5,7,5,NA,NA,6,NA,4,5,4,4,NA,NA,6,5,6,NA,6,5,NA,NA,5,5,NA,4,5,NA,4,6,6,NA,6,6,NA
"u179",NA,6,7,7,NA,5,6,6,6,6,NA,4,6,5,NA,NA,5,4,NA,5,NA,NA,5,NA,NA,NA,NA,NA,6,4,5,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,4,4,NA,NA,NA,5,5,8,6,4,NA,6,5,5,5,4,5,7,4,7,5,6,NA,4,NA,NA,NA,NA,NA,4,6,NA,5,6,NA,NA,NA,4,NA,NA,NA,NA,4,4,5,5,NA,6,5,NA,NA,4,5,4,NA,4,NA
"u180",NA,NA,NA,5,5,NA,6,6,NA,6,5,5,NA,6,6,NA,NA,4,6,NA,5,8,5,NA,5,NA,7,NA,6,6,4,NA,5,5,5,NA,6,2,NA,NA,NA,NA,NA,NA,5,7,6,NA,6,4,7,5,5,6,NA,NA,NA,4,NA,5,NA,NA,6,NA,NA,4,NA,7,6,NA,NA,NA,NA,NA,6,4,4,7,6,NA,NA,NA,6,4,4,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,3,8,NA,6
"u181",NA,6,5,NA,5,NA,6,NA,4,NA,5,NA,4,4,NA,NA,NA,NA,7,NA,NA,6,NA,NA,6,NA,7,NA,5,5,6,5,NA,4,6,4,NA,NA,NA,4,4,4,NA,NA,NA,7,NA,6,NA,5,7,NA,5,4,5,4,5,4,NA,4,6,NA,NA,NA,NA,3,5,NA,7,7,NA,7,NA,NA,6,NA,NA,NA,6,6,3,NA,7,5,NA,5,NA,7,5,6,6,5,5,NA,NA,NA,NA,5,NA,NA
"u182",NA,NA,6,4,4,5,NA,5,NA,NA,NA,NA,3,NA,5,3,NA,6,5,NA,5,6,NA,NA,5,NA,7,6,7,NA,NA,NA,2,NA,NA,6,NA,5,5,4,4,5,NA,4,6,8,5,NA,8,5,NA,NA,5,4,NA,5,NA,NA,5,6,NA,NA,9,5,5,NA,NA,NA,7,NA,7,NA,NA,NA,5,NA,NA,5,4,6,NA,6,NA,NA,NA,6,5,3,4,NA,NA,5,NA,NA,5,NA,5,NA,NA,NA
"u183",5,5,7,NA,6,NA,5,NA,6,7,NA,NA,4,NA,5,NA,4,6,NA,5,NA,7,5,NA,NA,NA,8,NA,6,NA,6,4,NA,NA,4,NA,6,NA,NA,NA,5,4,NA,3,NA,NA,NA,NA,NA,5,NA,5,NA,7,NA,NA,6,5,4,6,6,4,5,NA,3,4,NA,NA,NA,5,NA,8,NA,7,NA,NA,NA,NA,NA,7,6,NA,NA,4,NA,NA,5,NA,5,6,NA,NA,5,NA,5,6,3,NA,4,8
"u184",5,5,6,NA,NA,NA,NA,5,NA,NA,6,NA,NA,5,5,5,NA,5,6,NA,6,NA,NA,4,5,5,NA,4,6,NA,4,5,6,NA,NA,NA,NA,5,6,6,NA,NA,NA,NA,6,8,6,6,NA,NA,7,NA,6,5,4,2,5,NA,NA,NA,8,5,6,NA,6,NA,5,5,6,4,NA,5,NA,5,4,3,NA,NA,5,NA,NA,6,NA,NA,NA,NA,5,6,NA,6,4,6,6,5,5,4,NA,6,NA,7
"u185",6,5,NA,5,NA,6,NA,NA,7,NA,NA,3,3,NA,NA,NA,6,NA,NA,6,NA,NA,NA,5,6,4,7,NA,NA,NA,NA,NA,5,3,NA,NA,5,5,6,NA,4,NA,NA,4,5,8,4,6,NA,NA,NA,6,NA,NA,4,NA,6,4,3,5,NA,NA,7,4,7,4,5,NA,7,NA,7,NA,4,6,NA,4,NA,5,6,6,NA,7,NA,4,NA,NA,4,NA,4,5,5,NA,NA,4,5,5,7,7,4,NA
"u186",NA,NA,NA,5,NA,NA,NA,4,5,7,NA,NA,4,NA,7,NA,NA,NA,6,7,3,7,4,NA,NA,5,7,NA,NA,NA,6,5,NA,NA,NA,6,NA,3,6,NA,4,6,NA,NA,NA,NA,6,8,5,4,7,NA,NA,7,NA,NA,NA,NA,6,3,6,6,NA,4,NA,4,4,6,NA,NA,NA,6,2,NA,5,6,NA,NA,5,6,6,NA,NA,3,5,NA,5,6,NA,NA,3,5,5,7,NA,5,NA,7,5,NA
"u187",6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,5,NA,NA,NA,6,NA,5,6,NA,NA,5,5,8,NA,NA,6,4,NA,5,5,4,NA,NA,NA,6,5,4,6,7,NA,NA,NA,NA,NA,NA,5,NA,NA,6,5,NA,5,5,NA,NA,NA,NA,3,8,NA,NA,4,NA,NA,7,4,6,4,NA,NA,NA,5,5,NA,5,NA,NA,NA,7,NA,NA,NA,NA,NA,5,7,NA,7,NA,7,NA,6,NA,NA,NA,NA
"u188",NA,5,7,NA,5,4,6,4,5,NA,NA,4,5,7,5,4,5,NA,8,NA,4,NA,NA,5,6,5,NA,NA,5,NA,5,7,NA,NA,NA,6,5,NA,5,4,4,NA,6,5,4,NA,NA,7,6,NA,NA,4,5,NA,4,NA,6,NA,NA,NA,NA,3,NA,4,NA,5,NA,5,NA,NA,NA,7,NA,4,NA,NA,5,NA,NA,7,4,5,NA,NA,NA,NA,6,7,NA,NA,6,NA,NA,5,NA,6,NA,8,4,NA
"u189",NA,6,7,NA,6,NA,NA,NA,NA,7,NA,4,6,7,4,5,NA,NA,NA,6,NA,NA,NA,4,5,NA,NA,4,NA,NA,4,NA,5,5,NA,2,5,5,NA,NA,2,6,6,4,NA,9,5,8,NA,NA,7,4,5,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,7,4,5,NA,NA,NA,NA,NA,NA,4,5,NA,NA,3,NA,6,NA,NA,NA,NA,NA,NA,4,6,NA,6,NA,5,5,5,5,NA,NA,NA,NA,NA
"u190",6,NA,NA,NA,4,NA,NA,5,NA,NA,6,NA,6,6,NA,3,4,NA,8,NA,6,NA,NA,NA,6,5,NA,NA,NA,5,6,NA,5,5,NA,3,NA,4,5,5,NA,5,7,NA,6,8,NA,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,6,6,5,6,NA,NA,5,4,5,NA,6,6,NA,NA,4,NA,NA,NA,5,NA,NA,5,NA,NA,NA,6,NA,5,4,4,NA,7,7,5,5,NA,5,NA,NA,NA,8
"u191",5,5,NA,NA,4,NA,4,5,6,NA,NA,4,5,5,5,5,NA,NA,5,5,6,NA,3,NA,NA,5,8,5,5,NA,4,6,NA,6,5,NA,NA,NA,NA,6,NA,NA,7,2,NA,NA,6,NA,7,NA,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,6,6,5,NA,6,5,7,5,NA,NA,3,NA,6,NA,5,6,NA,NA,NA,NA,NA,3,NA,NA,5,5,6,NA,5,4,6,NA,5,NA,6,8,NA,8
"u192",NA,4,NA,4,4,6,NA,4,5,NA,5,5,5,NA,NA,4,6,NA,NA,NA,5,7,5,5,NA,4,NA,NA,6,NA,7,5,4,5,6,NA,5,NA,5,NA,5,NA,7,4,7,6,NA,7,6,NA,7,NA,6,6,4,6,NA,5,NA,6,NA,NA,NA,5,NA,NA,NA,5,7,NA,NA,6,6,5,NA,4,NA,NA,4,7,6,NA,NA,NA,3,5,NA,5,NA,6,5,5,NA,6,3,6,NA,7,NA,7
"u193",7,5,6,NA,NA,7,6,NA,NA,8,NA,NA,4,5,6,4,NA,NA,6,7,NA,6,4,6,5,NA,9,6,NA,NA,5,5,NA,4,6,NA,5,NA,NA,4,5,NA,NA,NA,NA,8,4,4,NA,4,NA,6,NA,6,NA,5,6,NA,NA,6,NA,5,6,5,5,NA,NA,NA,6,NA,NA,NA,NA,NA,6,3,4,NA,5,6,4,NA,6,4,5,NA,NA,7,NA,6,NA,6,NA,7,NA,NA,5,NA,NA,NA
"u194",7,5,NA,NA,4,7,NA,NA,NA,NA,4,4,NA,5,NA,NA,6,NA,NA,5,NA,NA,NA,6,7,4,8,NA,5,6,4,5,6,NA,NA,NA,4,6,NA,3,NA,5,NA,5,NA,NA,NA,6,NA,5,NA,NA,NA,6,6,6,NA,NA,NA,6,NA,4,5,5,6,5,4,NA,8,NA,NA,NA,5,NA,NA,NA,3,7,NA,NA,7,5,NA,NA,5,5,6,NA,3,NA,5,5,7,NA,6,NA,6,6,NA,7
"u195",NA,3,NA,7,NA,4,6,NA,7,6,4,NA,6,NA,NA,5,5,NA,NA,5,NA,7,NA,5,5,NA,NA,5,NA,5,6,5,NA,5,NA,NA,5,5,NA,4,NA,5,NA,NA,NA,NA,6,5,NA,NA,NA,NA,6,5,NA,3,NA,5,4,5,6,NA,NA,6,NA,NA,NA,5,NA,NA,7,NA,4,6,NA,NA,5,5,NA,6,5,NA,NA,NA,5,NA,NA,5,NA,6,4,6,NA,5,NA,4,NA,NA,NA,NA
"u196",NA,5,8,5,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,5,6,6,6,NA,6,3,5,6,NA,NA,5,5,NA,4,NA,5,NA,NA,NA,4,5,6,NA,3,5,NA,NA,NA,7,NA,8,6,6,7,4,NA,NA,4,5,7,4,NA,NA,7,NA,6,NA,5,5,5,5,6,NA,NA,7,NA,NA,NA,NA,5,5,NA,5,5,5,NA,4,5,4,NA,NA,4,5,NA,5,NA,NA,NA,NA,6,NA,NA,7
"u197",6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,5,NA,NA,NA,6,4,NA,6,NA,8,NA,4,NA,4,5,5,NA,5,5,NA,NA,5,4,NA,NA,8,6,NA,NA,6,NA,NA,NA,7,4,6,5,NA,NA,5,NA,6,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,5,NA,NA,6,NA,NA,7,6,NA,4,NA,5,5,NA,NA,NA,NA,4,5,NA,5,NA
"u198",NA,6,NA,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,6,NA,NA,6,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,3,NA,NA,NA,NA,5,NA,4,5,NA,NA,8,NA,NA,NA,7,NA,6,NA,4,6,NA,4,NA,NA,NA,9,5,NA,5,NA,NA,6,4,6,5,NA,5,4,5,6,NA,6,4,4,NA,7,5,7,5,4,NA,NA,4,5,5,NA,NA,3,5,5,8,7,NA
"u199",NA,NA,NA,NA,NA,NA,5,NA,NA,4,5,NA,NA,7,5,NA,4,6,7,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,3,5,7,5,4,6,NA,6,6,NA,7,NA,NA,NA,6,5,NA,4,5,NA,5,2,6,4,4,5,6,5,7,NA,NA,NA,5,NA,NA,3,NA,NA,5,NA,NA,NA,7,NA,NA,4,5,6,5,6,NA,NA,6,5,NA,5,4,8,NA,8
"u200",5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,5,4,NA,NA,NA,6,5,NA,NA,5,NA,6,8,6,NA,5,4,5,5,NA,NA,3,NA,NA,NA,4,NA,NA,NA,5,NA,6,8,NA,NA,NA,NA,NA,5,5,7,NA,NA,5,3,NA,NA,4,7,5,NA,NA,6,NA,7,4,NA,NA,4,4,NA,NA,5,NA,5,6,6,5,NA,5,8,NA,4,7,6,NA,4,NA,NA,3,NA,NA,NA,NA,NA,7
"u201",NA,NA,6,NA,6,NA,6,5,NA,NA,NA,NA,NA,NA,5,5,NA,NA,6,NA,5,7,5,5,7,NA,NA,4,5,NA,NA,NA,NA,4,6,NA,4,NA,6,4,4,4,NA,6,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,3,NA,NA,NA,4,NA,5,NA,NA,6,NA,NA,6,NA,4,NA,5,NA,NA,5,5,NA,5,6,NA,6,NA,5,6,5,NA,6,NA,NA,6,6,7,6,NA
"u202",6,NA,7,NA,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,6,7,NA,NA,NA,3,4,5,NA,7,5,5,NA,NA,NA,NA,NA,NA,NA,4,NA,6,5,NA,6,6,4,4,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,5,NA,5,NA,7,NA,5,5,NA,NA,NA,4,6,3,NA,5,NA,NA,3,5,5,NA,5,NA,NA,NA,NA,NA,6,NA,NA,NA,5,5,5,NA,4,NA,5,NA,5,NA
"u203",5,NA,NA,5,NA,NA,NA,NA,3,NA,6,NA,5,NA,4,4,6,NA,NA,NA,NA,NA,NA,4,5,5,NA,NA,5,5,NA,NA,5,NA,NA,6,6,4,4,4,4,5,NA,NA,5,NA,7,8,NA,NA,6,NA,7,5,NA,4,6,NA,NA,6,NA,4,5,4,NA,6,5,NA,6,NA,6,6,NA,5,NA,NA,5,4,6,6,NA,6,6,NA,NA,NA,5,NA,3,6,6,NA,6,NA,4,5,NA,6,NA,NA
"u204",5,NA,NA,NA,5,NA,NA,NA,7,6,NA,4,5,NA,NA,5,5,NA,7,NA,5,7,5,5,4,4,NA,4,6,NA,NA,NA,NA,4,6,5,5,NA,NA,4,NA,5,NA,5,6,NA,NA,NA,8,NA,NA,NA,5,6,4,NA,NA,5,NA,4,5,5,NA,NA,6,NA,4,NA,NA,3,7,NA,4,5,NA,4,NA,4,6,5,NA,NA,8,NA,NA,NA,4,NA,NA,6,3,NA,NA,NA,4,NA,NA,7,5,NA
"u205",NA,NA,NA,6,5,5,4,NA,NA,5,6,4,5,NA,NA,NA,NA,5,6,6,NA,6,NA,4,NA,NA,8,NA,NA,NA,5,NA,NA,5,4,4,NA,5,NA,4,4,6,NA,NA,NA,7,NA,6,6,4,NA,NA,NA,NA,NA,NA,5,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,5,3,5,7,6,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,3,6,4,NA
"u206",8,5,7,6,7,NA,7,NA,NA,7,NA,3,3,4,6,5,NA,NA,6,NA,6,NA,NA,NA,7,NA,8,NA,NA,NA,3,4,5,3,6,4,5,5,NA,6,NA,5,6,5,NA,6,8,NA,6,NA,NA,6,NA,NA,NA,4,7,NA,NA,4,NA,4,6,NA,6,NA,4,7,7,NA,NA,6,NA,NA,6,4,6,6,6,5,NA,NA,NA,NA,NA,5,6,NA,5,5,NA,NA,5,6,NA,NA,NA,6,NA,NA
"u207",6,NA,7,NA,6,NA,NA,6,NA,NA,5,3,5,NA,6,NA,5,5,6,NA,3,7,NA,NA,NA,NA,8,5,NA,NA,5,NA,5,NA,5,NA,NA,NA,5,NA,NA,6,7,NA,NA,8,6,7,4,NA,NA,4,NA,NA,NA,5,4,5,NA,NA,8,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,3,NA,NA,5,7,6,NA,4,NA,5,NA,4,5,5,4,NA,NA,NA,5,NA,7,NA,4,NA,5,NA,5,NA
"u208",NA,NA,NA,7,NA,7,NA,4,6,NA,NA,NA,NA,NA,NA,3,NA,7,NA,NA,4,6,4,4,NA,NA,8,NA,NA,5,6,NA,NA,7,7,4,NA,5,6,NA,NA,NA,6,NA,5,6,5,6,5,5,10,4,5,7,NA,NA,NA,NA,6,6,6,4,6,NA,NA,NA,4,6,NA,5,6,6,4,NA,6,NA,NA,5,6,7,6,5,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,7,6,7
"u209",NA,NA,7,7,5,5,NA,NA,6,8,NA,NA,5,6,7,4,3,NA,6,NA,NA,NA,NA,NA,6,NA,7,5,5,NA,NA,4,7,4,7,NA,NA,4,6,NA,4,4,8,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,6,7,NA,NA,6,7,NA,6,NA,6,NA,4,NA,7,NA,NA,NA,6,NA,NA,4,NA,NA,6,NA,4,6,NA,5,NA,NA,5,4,4,NA,NA,5,6,NA,NA,NA,4,NA,6,8
"u210",NA,NA,6,NA,7,NA,NA,5,5,NA,5,5,NA,3,NA,NA,NA,6,NA,5,6,NA,3,NA,6,NA,7,5,6,5,4,NA,NA,4,7,4,NA,NA,NA,7,4,5,6,NA,6,5,NA,7,5,NA,7,5,5,5,NA,4,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,6,NA,4,7,NA,NA,6,6,3,NA,NA,5,5,NA,NA,5,4,NA,NA,4,NA,NA,NA,5,4,6,6,4,NA,4,NA,NA,NA
"u211",7,5,6,NA,NA,5,NA,6,7,NA,4,5,4,4,5,4,NA,NA,NA,NA,NA,5,5,NA,5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,5,NA,4,6,5,6,4,NA,NA,4,6,NA,NA,7,5,NA,NA,5,NA,NA,5,NA,6,NA,5,NA,4,4,NA,NA,6,NA,NA,NA,NA,5,NA,6,4,NA,5,NA,NA,6,NA,5,NA,4,7,NA,7
"u212",NA,3,NA,5,6,6,5,6,6,NA,4,4,NA,6,5,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,7,NA,NA,NA,6,5,NA,4,NA,5,NA,4,NA,4,NA,NA,7,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,3,NA,NA,NA,5,5,5,5,NA,NA,5,NA,NA,NA,NA,5,5,NA,NA,5,5,NA,5,4,NA,5,7,NA,5,5,4,NA,5,NA
"u213",NA,5,NA,NA,NA,NA,8,6,5,7,NA,NA,NA,4,6,NA,3,NA,5,NA,NA,6,4,NA,5,5,7,5,4,NA,NA,NA,6,NA,5,NA,7,NA,5,3,5,7,NA,NA,NA,9,7,7,6,NA,5,5,6,6,4,7,NA,5,4,NA,NA,NA,7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,4,NA,5,NA,NA,5,5,6,NA,NA,5,NA,NA,NA,8
"u214",4,5,NA,NA,NA,5,NA,NA,6,NA,7,NA,5,NA,NA,NA,NA,6,NA,NA,NA,5,4,NA,7,NA,NA,NA,7,NA,NA,5,5,NA,5,NA,5,4,NA,6,NA,NA,7,NA,6,6,NA,NA,NA,5,NA,5,5,3,5,NA,NA,NA,4,NA,8,NA,NA,NA,7,4,4,NA,NA,NA,NA,6,NA,NA,NA,4,NA,NA,4,NA,4,6,NA,6,NA,5,NA,7,5,NA,NA,6,5,NA,NA,5,5,7,5,NA
"u215",NA,6,7,5,NA,7,7,4,6,6,NA,5,4,7,NA,NA,NA,4,NA,NA,5,NA,NA,NA,5,5,9,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,5,5,4,5,NA,3,4,7,NA,NA,NA,NA,NA,5,7,5,NA,6,NA,6,NA,NA,7,NA,NA,4,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,4,5,NA,NA,NA,NA,NA,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,NA
"u216",NA,NA,6,7,5,NA,7,NA,NA,7,NA,5,5,6,5,NA,NA,NA,NA,NA,NA,7,5,3,7,6,NA,5,6,5,4,NA,NA,4,NA,6,4,4,7,4,5,NA,NA,NA,4,NA,NA,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,4,NA,5,NA,NA,4,5,NA,NA,6,NA,NA,NA,NA,NA,7,NA,6,6,5,NA,NA,5,5,5,5,6,NA,6,NA,6,NA,5,2,5,NA,8,NA,8
"u217",NA,NA,NA,5,6,6,NA,NA,NA,NA,5,5,4,7,NA,NA,NA,NA,7,6,NA,6,5,5,6,4,8,NA,7,NA,3,NA,5,NA,NA,5,NA,NA,NA,NA,4,NA,7,4,NA,6,NA,6,NA,5,8,4,6,4,NA,NA,6,NA,NA,NA,6,NA,NA,NA,6,NA,4,7,NA,NA,NA,NA,NA,7,5,5,NA,NA,5,5,5,NA,7,5,NA,NA,5,NA,NA,6,NA,5,7,NA,NA,NA,NA,NA,4,8
"u218",5,NA,NA,NA,NA,NA,6,NA,NA,6,NA,4,4,7,NA,NA,NA,5,5,NA,5,NA,3,5,6,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,5,NA,NA,NA,5,5,7,NA,NA,6,NA,NA,6,6,NA,NA,NA,NA,4,NA,NA,6,NA,NA,NA,NA,6,5,NA,NA,NA,5,6,NA,NA,NA,4,NA,4,NA,4,4,NA,NA,5,7,6,NA,5,3,NA,5,4,NA,6,6,6,6,5,6,NA,NA,6,7
"u219",NA,NA,NA,6,5,NA,NA,7,NA,NA,NA,4,3,4,5,NA,5,NA,7,5,NA,7,5,6,5,NA,NA,NA,4,NA,NA,4,4,5,6,2,4,NA,NA,NA,NA,NA,7,4,5,NA,NA,7,5,NA,NA,NA,4,4,5,NA,6,NA,NA,5,6,6,NA,NA,NA,4,NA,6,NA,4,NA,5,3,NA,NA,5,5,NA,NA,7,NA,7,5,NA,5,NA,NA,6,7,NA,6,NA,7,4,NA,5,NA,NA,5,NA
"u220",4,NA,NA,NA,NA,NA,7,NA,7,NA,NA,4,NA,NA,6,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,7,5,NA,5,NA,NA,5,NA,NA,NA,5,4,NA,NA,NA,5,5,NA,5,8,5,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,6,4,8,NA,NA,5,NA,7,8,4,NA,5,NA,6,NA,NA,5,NA,6,NA,NA,5,7,4,NA,NA,4,NA,4,5,4,6,NA,NA,5,4,NA,NA,NA,8
"u221",5,NA,5,5,4,NA,7,4,NA,NA,6,NA,NA,NA,6,NA,5,7,NA,5,NA,7,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,4,NA,NA,NA,NA,6,5,5,NA,NA,3,6,NA,NA,NA,NA,6,NA,NA,4,NA,NA,NA,6,7,NA,NA,7,NA,NA,6,6,NA,4,5,6,7,5,NA,NA,3,6,5,NA,NA,5,6,4,NA,6,NA,6,NA,4,7,4,NA
"u222",NA,NA,7,NA,5,5,8,NA,7,NA,6,5,5,5,NA,4,NA,NA,6,6,NA,7,NA,NA,NA,3,7,NA,7,5,NA,NA,NA,5,5,NA,NA,5,5,4,4,4,NA,5,4,7,NA,NA,NA,5,NA,5,NA,NA,6,4,NA,4,5,NA,6,5,NA,NA,6,5,NA,NA,7,4,6,NA,NA,5,5,NA,NA,6,NA,NA,7,NA,NA,NA,6,5,NA,4,NA,NA,NA,6,NA,NA,NA,4,4,6,5,7
"u223",NA,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,7,NA,4,5,NA,NA,NA,NA,6,NA,5,6,4,4,NA,5,5,6,NA,6,NA,4,NA,4,NA,8,5,NA,NA,6,5,5,NA,2,NA,NA,6,5,NA,5,7,4,NA,6,NA,4,NA,6,7,NA,7,NA,NA,5,7,NA,NA,6,5,6,NA,NA,NA,NA,5,5,NA,6,5,6,NA,NA,6,6,5,8,5,NA,5,NA
"u224",NA,NA,6,5,NA,4,7,7,6,NA,4,NA,NA,5,NA,NA,5,4,6,6,NA,NA,6,4,5,NA,8,5,5,5,5,5,NA,4,7,5,NA,6,5,4,NA,5,6,NA,4,NA,NA,6,NA,NA,NA,4,NA,6,NA,4,6,5,NA,6,NA,5,6,4,5,NA,NA,NA,6,5,5,NA,NA,NA,NA,5,NA,6,5,6,NA,NA,NA,4,NA,NA,NA,4,5,5,7,5,5,5,NA,5,4,NA,5,7
"u225",8,NA,6,NA,NA,5,NA,NA,NA,NA,NA,NA,5,6,6,NA,6,5,6,NA,NA,8,4,NA,4,NA,NA,NA,5,5,NA,4,NA,NA,7,NA,NA,5,5,4,NA,5,NA,5,NA,NA,6,6,NA,5,NA,NA,6,NA,6,3,8,NA,NA,NA,NA,4,NA,4,6,3,5,5,8,NA,6,5,NA,6,NA,NA,5,6,5,6,4,NA,7,4,5,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"u226",6,5,NA,NA,6,5,7,NA,6,NA,4,NA,6,5,NA,NA,NA,NA,NA,6,NA,NA,NA,5,6,6,7,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,6,4,NA,NA,NA,4,5,7,5,NA,6,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,5,NA,NA,5,NA,NA,NA,7,NA,NA,5,NA,NA,NA,NA,4,6,6,5,6,NA,NA,NA,5,6,3,NA,NA,3,NA,4,NA,5,6,3,6,5,6,6,8
"u227",7,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,4,5,5,NA,NA,NA,7,6,5,NA,NA,NA,4,3,8,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,5,4,NA,3,NA,NA,5,NA,NA,7,NA,NA,6,4,NA,NA,5,5,5,4,4,NA,4,NA,NA,4,5,NA,NA,7,NA,NA,NA,NA,NA,6,NA,NA,NA,4,NA,5,NA,6,NA,6,NA,NA,5,4,NA,NA,5,NA,6,5,NA,6,7,NA,NA,8
